Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT5G66390,,1.12,UP,9.68,1,peroxidase 72
AT5G64120,,1.00,DOWN,11.44,1,peroxidase 71
AT5G64100,,2.26,DOWN,27.24,0.0182,peroxidase 69
AT5G51890,,1.71,DOWN,7.20,0.6891,peroxidase 66
AT1G02780,emb2386,1.03,UP,234.08,1,60S ribosomal protein L19-1
AT1G14320,SAC52,1.70,DOWN,288.73,0.0009,60S ribosomal protein L10-1
AT1G23290,RPL27A,2.52,DOWN,181.71,0.0009,60S ribosomal protein L27a-2
AT1G29970,RPL18AA,1.12,DOWN,15.65,1,60S ribosomal protein L18a-1
AT1G33140,PGY2,3.00,DOWN,49.48,0.0096,60S ribosomal protein L9-1
AT1G43170,ARP1,1.05,UP,144.53,0.9455,60S ribosomal protein L3-1
AT1G61580,ARP2,1.51,UP,10.29,0.6088,60S ribosomal protein L3-2
AT1G66580,SAG24,2.01,DOWN,76.98,0.0009,60S ribosomal protein L10-3
AT1G69620,RPL34,1.34,DOWN,304.14,0.0319,60S ribosomal protein L34-2
AT2G18020,EMB2296,2.00,DOWN,308.24,0.0009,60S ribosomal protein L8-1
AT2G27530,PGY1,1.93,DOWN,126.73,0.0009,60S ribosomal protein L10a-2
AT2G36620,RPL24A,1.04,UP,98.05,1,60S ribosomal protein L24-1
AT2G39460,ATRPL23A,1.40,DOWN,194.81,0.0385,60S ribosomal protein L23a-1
AT3G04400,emb2171,3.21,DOWN,504.27,0.0009,60S ribosomal protein L23
AT3G05590,RPL18,3.37,DOWN,142.95,0.0009,60S ribosomal protein L18-2
AT3G25520,ATL5,1.22,DOWN,137.80,0.2500,60S ribosomal protein L5-1
AT3G49010,ATBBC1,1.14,DOWN,104.12,0.7066,60S ribosomal protein L13-1
AT3G52590,UBQ1,1.59,DOWN,496.66,0.0009,60S ribosomal protein L40-2
AT3G53020,RPL24,1.00,UP,141.10,1,60S ribosomal protein L24-2
AT3G55280,RPL23AB,1.89,DOWN,47.55,0.1040,60S ribosomal protein L23a-2
AT4G18730,RPL16B,1.23,DOWN,138.31,0.4493,60S ribosomal protein L11-2
AT5G39740,RPL5B,1.18,UP,94.76,0.4671,60S ribosomal protein L5-2
AT5G17820,,3.70,DOWN,28.34,0.0032,peroxidase 57
AT4G37530,,2.05,DOWN,6.61,0.5064,peroxidase 51
AT5G06290,2-Cys Prx B,1.39,DOWN,50.59,0.1739,2-Cys peroxiredoxin BAS1-like protein
AT1G05190,emb2394,1.76,DOWN,130.70,0.0032,50S ribosomal protein L6
AT1G07320,RPL4,1.60,DOWN,224.89,0.0009,50S ribosomal protein L4
AT1G32990,PRPL11,1.53,DOWN,115.46,0.0567,50S ribosomal protein L11
AT1G75350,emb2184,1.49,DOWN,133.13,0.1332,50S ribosomal protein L31
AT1G78630,emb1473,1.09,DOWN,90.11,0.8839,50S ribosomal protein L13
AT3G25920,RPL15,1.75,DOWN,135.33,0.0009,50S ribosomal protein L15
AT3G27830,RPL12-A,1.32,DOWN,127.75,0.2182,50S ribosomal protein L12-1
AT3G27850,RPL12-C,1.17,DOWN,232.09,0.4017,50S ribosomal protein L12-3
AT3G44890,RPL9,1.32,UP,121.28,0.2255,50S ribosomal protein L9
AT4G30930,NFD1,1.69,UP,9.60,0.6575,50S ribosomal protein L21
AT4G37520,,1.47,UP,10.65,0.6302,peroxidase 50
AT5G40950,RPL27,1.07,DOWN,91.89,1,50S ribosomal protein L27
AT4G30170,,1.08,DOWN,27.19,1,peroxidase 45
AT4G26010,,3.61,DOWN,20.56,0.0506,peroxidase 44
AT1G04270,RPS15,1.99,DOWN,218.86,0.0009,40S ribosomal protein S15-1
AT1G07770,RPS15A,2.30,DOWN,258.58,0.0009,40S ribosomal protein S15a-1
AT1G22780,PFL,1.20,DOWN,98.51,0.5762,40S ribosomal protein S18
AT1G58380,XW6,2.51,DOWN,9.34,0.1940,40S ribosomal protein S2-1
AT1G72370,P40,1.82,DOWN,120.58,0.0009,40S ribosomal protein Sa-1
AT2G19720,rps15ab,5.16,DOWN,5.83,0.4942,40S ribosomal protein S15a-2
AT2G37270,RPS5B,1.98,DOWN,51.24,0.0264,40S ribosomal protein S5-1
AT3G11940,RPS5A,1.07,DOWN,119.49,0.9816,40S ribosomal protein S5-2
AT3G22300,RPS10,1.52,UP,11.65,0.7796,40S ribosomal protein S10
AT3G46040,RPS15AD,1.11,DOWN,67.47,0.9963,40S ribosomal protein S15a-4
AT3G48930,EMB1080,1.59,DOWN,112.66,0.0393,40S ribosomal protein S11-1
AT3G61110,ARS27A,2.55,DOWN,350.56,0.0009,40S ribosomal protein S27-2
AT4G00100,ATRPS13A,1.50,DOWN,113.43,0.0935,40S ribosomal protein S13-2
AT4G09800,RPS18C,1.97,DOWN,114.27,0.0045,40S ribosomal protein S18
AT4G29430,rps15ae,2.10,DOWN,31.56,0.1884,40S ribosomal protein S15a-5
AT4G31700,RPS6,1.62,DOWN,121.74,0.0009,40S ribosomal protein S6-1
AT5G10360,RPS6B,1.90,DOWN,96.18,0.0009,40S ribosomal protein S6-2
AT5G23740,RPS11-BETA,2.24,DOWN,78.35,0.0009,40S ribosomal protein S11-3
AT5G64140,RPS28,1.12,DOWN,115.50,1,40S ribosomal protein S28-2
AT4G11290,,1.46,DOWN,11.13,0.7674,peroxidase 39
AT3G49960,,1.81,DOWN,9.79,0.3978,peroxidase 35
AT3G32980,,2.12,DOWN,114.51,0.0009,peroxidase 32
AT3G28200,,2.08,DOWN,40.83,0.0490,peroxidase 31
AT1G74970,RPS9,2.27,DOWN,71.31,0.0017,30S ribosomal protein S9
AT1G79850,CS17,1.96,DOWN,301.27,0.0009,30S ribosomal protein S17
AT2G38140,PSRP4,1.91,DOWN,263.98,0.0009,30S ribosomal protein S31
AT3G21770,,1.80,DOWN,17.59,0.3183,peroxidase 30
AT5G24490,,1.98,UP,76.26,0.0009,putative 30S ribosomal protein
AT3G01190,,1.56,DOWN,17.39,0.4694,peroxidase 27
AT1G09100,RPT5B,2.25,UP,6.14,0.2947,26S proteasome regulatory subunit T5
AT1G20200,EMB2719,1.71,DOWN,10.72,0.1721,26S proteasome regulatory subunit N3
AT1G29150,ATS9,1.36,DOWN,26.98,0.4091,26S proteasome regulatory subunit N6
AT1G64520,RPN12a,1.23,DOWN,27.28,0.7622,26S proteasome non-ATPase regulatory subunit RPN12A
AT1G64750,DSS1(I),2.29,DOWN,105.07,0.0537,26 proteasome complex subunit DSS1
AT2G20580,RPN1A,1.42,UP,13.35,0.2530,26S proteasome regulatory subunit N1
AT4G29040,RPT2a,1.15,UP,33.22,0.7851,26S proteasome regulatory subunit 4-A
AT4G38630,MCB1,1.13,DOWN,24.68,0.9342,26S proteasome non-ATPase regulatory subunit 4
AT5G05780,RPN8A,1.41,UP,15.82,0.4767,26S proteasome regulatory subunit N8
AT5G09900,MSA,1.31,DOWN,11.38,0.6864,26S proteasome regulatory subunit N5
AT5G45010,ATDSS1(V),1.38,DOWN,62.56,0.5170,26 proteasome complex subunit DSS1
AT3G10720,,1.26,UP,6.92,0.9467,pectinesterase 25
AT1G20330,CVP1,2.46,DOWN,36.64,0.0017,24-methylenesterol C-methyltransferase 2
AT1G76090,SMT3,3.33,DOWN,11.66,0.1536,24-methylenesterol C-methyltransferase 3
AT2G38390,,5.03,DOWN,16.84,0.0577,peroxidase 23
AT2G38380,,3.10,DOWN,18.47,0.0549,peroxidase 22
AT2G39700,ATHEXP ALPHA 1.6,1.27,DOWN,20.08,0.6235,expansin A4
AT2G18980,,1.12,UP,9.06,1,peroxidase 16
