Transcript,Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT5G66390.1,AT5G66390,,1.00,UP,10.21,1,peroxidase 72
AT5G64120.1,AT5G64120,,1.00,UP,11.43,1,peroxidase 71
AT5G64100.1,AT5G64100,,1.00,UP,16.69,1,peroxidase 69
AT1G02780.1,AT1G02780,emb2386,1.00,UP,237.14,1,60S ribosomal protein L19-1
AT1G14320.1,AT1G14320,SAC52,1.00,UP,80.83,1,60S ribosomal protein L10-1
AT1G14320.2,AT1G14320,SAC52,1.00,UP,132.79,1,60S ribosomal protein L10-1
AT1G23290.1,AT1G23290,RPL27A,1.00,UP,103.25,1,60S ribosomal protein L27a-2
AT1G29970.1,AT1G29970,RPL18AA,1.00,UP,14.43,1,60S ribosomal protein L18a-1
AT1G33140.1,AT1G33140,PGY2,1.00,UP,24.72,1,60S ribosomal protein L9-1
AT1G43170.1,AT1G43170,ARP1,1.00,UP,104.33,1,60S ribosomal protein L3-1
AT1G43170.2,AT1G43170,ARP1,1.00,UP,9.04,1,60S ribosomal protein L3-1
AT1G43170.5,AT1G43170,ARP1,1.00,UP,20.81,1,60S ribosomal protein L3-1
AT1G43170.6,AT1G43170,ARP1,1.00,UP,13.86,1,60S ribosomal protein L3-1
AT1G61580.1,AT1G61580,ARP2,1.00,UP,12.37,1,60S ribosomal protein L3-2
AT1G66580.1,AT1G66580,SAG24,1.00,UP,51.23,1,60S ribosomal protein L10-3
AT1G69620.1,AT1G69620,RPL34,1.00,UP,260.40,1,60S ribosomal protein L34-2
AT2G18020.1,AT2G18020,EMB2296,1.00,UP,205.61,1,60S ribosomal protein L8-1
AT2G27530.1,AT2G27530,PGY1,1.00,UP,78.65,1,60S ribosomal protein L10a-2
AT2G27530.2,AT2G27530,PGY1,1.00,UP,7.95,1,60S ribosomal protein L10a-2
AT2G36620.1,AT2G36620,RPL24A,1.00,UP,100.01,1,60S ribosomal protein L24-1
AT2G39460.1,AT2G39460,ATRPL23A,1.00,UP,124.31,1,60S ribosomal protein L23a-1
AT2G39460.2,AT2G39460,ATRPL23A,1.00,UP,37.80,1,60S ribosomal protein L23a-1
AT3G04400.1,AT3G04400,emb2171,1.00,UP,228.95,1,60S ribosomal protein L23
AT3G04400.2,AT3G04400,emb2171,1.00,UP,10.58,1,60S ribosomal protein L23
AT3G05590.1,AT3G05590,RPL18,1.00,UP,65.41,1,60S ribosomal protein L18-2
AT3G25520.1,AT3G25520,ATL5,1.00,UP,95.49,1,60S ribosomal protein L5-1
AT3G25520.2,AT3G25520,ATL5,1.00,UP,28.89,1,60S ribosomal protein L5-1
AT3G49010.2,AT3G49010,ATBBC1,1.00,UP,91.51,1,60S ribosomal protein L13-1
AT3G52590.1,AT3G52590,UBQ1,1.00,UP,384.03,1,60S ribosomal protein L40-2
AT3G53020.1,AT3G53020,RPL24,1.00,UP,141.19,1,60S ribosomal protein L24-2
AT3G55280.1,AT3G55280,RPL23AB,1.00,UP,10.67,1,60S ribosomal protein L23a-2
AT3G55280.2,AT3G55280,RPL23AB,1.00,UP,22.22,1,60S ribosomal protein L23a-2
AT4G18730.1,AT4G18730,RPL16B,1.00,UP,124.26,1,60S ribosomal protein L11-2
AT5G39740.1,AT5G39740,RPL5B,1.00,UP,102.50,1,60S ribosomal protein L5-2
AT5G17820.1,AT5G17820,,1.00,UP,12.05,1,peroxidase 57
AT1G05190.1,AT1G05190,emb2394,1.00,UP,94.84,1,50S ribosomal protein L6
AT1G07320.1,AT1G07320,RPL4,1.00,UP,139.15,1,50S ribosomal protein L4
AT1G07320.3,AT1G07320,RPL4,1.00,UP,13.50,1,50S ribosomal protein L4
AT1G07320.4,AT1G07320,RPL4,1.00,UP,20.67,1,50S ribosomal protein L4
AT1G32990.1,AT1G32990,PRPL11,1.00,UP,91.21,1,50S ribosomal protein L11
AT1G75350.1,AT1G75350,emb2184,1.00,UP,107.03,1,50S ribosomal protein L31
AT1G78630.1,AT1G78630,emb1473,1.00,UP,86.04,1,50S ribosomal protein L13
AT3G25920.1,AT3G25920,RPL15,1.00,UP,98.37,1,50S ribosomal protein L15
AT3G27830.1,AT3G27830,RPL12-A,1.00,UP,110.28,1,50S ribosomal protein L12-1
AT3G27850.1,AT3G27850,RPL12-C,1.00,UP,213.68,1,50S ribosomal protein L12-3
AT3G44890.1,AT3G44890,RPL9,1.00,UP,137.92,1,50S ribosomal protein L9
AT4G30930.1,AT4G30930,NFD1,1.00,UP,12.05,1,50S ribosomal protein L21
AT4G37520.1,AT4G37520,,1.00,UP,12.67,1,peroxidase 50
AT5G40950.1,AT5G40950,RPL27,1.00,UP,88.82,1,50S ribosomal protein L27
AT4G30170.1,AT4G30170,,1.00,UP,26.13,1,peroxidase 45
AT5G06290.1,AT5G06290,2-Cys Prx B,1.00,UP,42.42,1,2-Cys peroxiredoxin BAS1-like protein
AT1G04270.1,AT1G04270,RPS15,1.00,UP,146.42,1,40S ribosomal protein S15-1
AT1G07770.2,AT1G07770,RPS15A,1.00,UP,156.74,1,40S ribosomal protein S15a-1
